,start,end,chr,karyo_band,chr_arm,numeric_chr,cytoband,geneID,geneIDversion
TTLL10,1109264.0,1133315.0,1,1p36.33,1p,1,p36.33,ENSG00000162571,ENSG00000162571.9
UBE2J2,1189289.0,1209265.0,1,1p36.33,1p,1,p36.33,ENSG00000160087,ENSG00000160087.16
VWA1,1370241.0,1378262.0,1,1p36.33,1p,1,p36.33,ENSG00000179403,ENSG00000179403.10
ARHGEF16,3370990.0,3397677.0,1,1p36.32,1p,1,p36.32,ENSG00000130762,ENSG00000130762.10
MEGF6,3406484.0,3528059.0,1,1p36.32,1p,1,p36.32,ENSG00000162591,ENSG00000162591.11
MIR551A,3477259.0,3477354.0,1,1p36.32,1p,1,p36.32,ENSG00000207776,ENSG00000207776.1
TPRG1L,3541566.0,3546691.0,1,1p36.32,1p,1,p36.32,ENSG00000158109,ENSG00000158109.10
WRAP73,3547331.0,3569325.0,1,1p36.32,1p,1,p36.32,ENSG00000116213,ENSG00000116213.11
TP73,3569084.0,3652765.0,1,1p36.32,1p,1,p36.32,ENSG00000078900,ENSG00000078900.10
CCDC27,3668962.0,3688209.0,1,1p36.32,1p,1,p36.32,ENSG00000162592,ENSG00000162592.4
SMIM1,3689352.0,3692546.0,1,1p36.32,1p,1,p36.32,ENSG00000235169,ENSG00000235169.3
LRRC47,3696784.0,3713068.0,1,1p36.32,1p,1,p36.32,ENSG00000130764,ENSG00000130764.5
RN7SL574P,3699379.0,3699673.0,1,1p36.32,1p,1,p36.32,ENSG00000266075,ENSG00000266075.1
CEP104,3728645.0,3773778.0,1,1p36.32,1p,1,p36.32,ENSG00000116198,ENSG00000116198.8
DFFB,3773845.0,3801993.0,1,1p36.32,1p,1,p36.32,ENSG00000169598,ENSG00000169598.11
C1orf174,3805689.0,3816857.0,1,1p36.32,1p,1,p36.32,ENSG00000198912,ENSG00000198912.6
AJAP1,4714792.0,4852594.0,1,1p36.32,1p,1,p36.32,ENSG00000196581,ENSG00000196581.6
MIR4417,5624131.0,5624203.0,1,1p36.31,1p,1,p36.31,ENSG00000264341,ENSG00000264341.1
MIR4689,5922732.0,5922801.0,1,1p36.31,1p,1,p36.31,ENSG00000264101,ENSG00000264101.1
NPHP4,5922871.0,6052533.0,1,1p36.31,1p,1,p36.31,ENSG00000131697,ENSG00000131697.13
KCNAB2,6051526.0,6161253.0,1,1p36.31,1p,1,p36.31,ENSG00000069424,ENSG00000069424.10
CHD5,6161853.0,6240183.0,1,1p36.31,1p,1,p36.31,ENSG00000116254,ENSG00000116254.13
RPL22,6241329.0,6269449.0,1,1p36.31,1p,1,p36.31,ENSG00000116251,ENSG00000116251.5
RNF207,6265535.0,6281359.0,1,1p36.31,1p,1,p36.31,ENSG00000158286,ENSG00000158286.8
ICMT,6281253.0,6296032.0,1,1p36.31,1p,1,p36.31,ENSG00000116237,ENSG00000116237.11
LINC00337,6296300.0,6299504.0,1,1p36.31,1p,1,p36.31,ENSG00000225077,ENSG00000225077.2
GPR153,6307406.0,6321035.0,1,1p36.31,1p,1,p36.31,ENSG00000158292,ENSG00000158292.6
HES3,6304252.0,6305638.0,1,1p36.31,1p,1,p36.31,ENSG00000173673,ENSG00000173673.7
ACOT7,6324329.0,6454451.0,1,1p36.31,1p,1,p36.31,ENSG00000097021,ENSG00000097021.15
HES2,6472478.0,6484730.0,1,1p36.31,1p,1,p36.31,ENSG00000069812,ENSG00000069812.7
ESPN,6484848.0,6521430.0,1,1p36.31,1p,1,p36.31,ENSG00000187017,ENSG00000187017.10
MIR4252,6489894.0,6489956.0,1,1p36.31,1p,1,p36.31,ENSG00000265392,ENSG00000265392.1
PLEKHG5,6526152.0,6580121.0,1,1p36.31,1p,1,p36.31,ENSG00000171680,ENSG00000171680.16
TNFRSF25,6521211.0,6526255.0,1,1p36.31,1p,1,p36.31,ENSG00000215788,ENSG00000215788.5
NOL9,6581407.0,6614595.0,1,1p36.31,1p,1,p36.31,ENSG00000162408,ENSG00000162408.10
TAS1R1,6615241.0,6639817.0,1,1p36.31,1p,1,p36.31,ENSG00000173662,ENSG00000173662.15
ZBTB48,6640061.0,6649340.0,1,1p36.31,1p,1,p36.31,ENSG00000204859,ENSG00000204859.7
KLHL21,6650784.0,6674667.0,1,1p36.31,1p,1,p36.31,ENSG00000162413,ENSG00000162413.12
PHF13,6673745.0,6684093.0,1,1p36.31,1p,1,p36.31,ENSG00000116273,ENSG00000116273.5
THAP3,6684926.0,6695646.0,1,1p36.31,1p,1,p36.31,ENSG00000041988,ENSG00000041988.11
DNAJC11,6694228.0,6761984.0,1,1p36.31,1p,1,p36.31,ENSG00000007923,ENSG00000007923.11
snoU13|ENSG00000239166.1,6812779.0,6812881.0,1,1p36.31,1p,1,p36.31,ENSG00000239166,ENSG00000239166.1
CAMTA1,6845384.0,7829766.0,1,1p36.31,1p,1,p36.31,ENSG00000171735,ENSG00000171735.14
VAMP3,7831329.0,7841492.0,1,1p36.23,1p,1,p36.23,ENSG00000049245,ENSG00000049245.8
PER3,7844380.0,7905237.0,1,1p36.23,1p,1,p36.23,ENSG00000049246,ENSG00000049246.10
UTS2,7903143.0,7913572.0,1,1p36.23,1p,1,p36.23,ENSG00000049247,ENSG00000049247.9
TNFRSF9,7979907.0,8000926.0,1,1p36.23,1p,1,p36.23,ENSG00000049249,ENSG00000049249.4
PARK7,8014351.0,8045565.0,1,1p36.23,1p,1,p36.23,ENSG00000116288,ENSG00000116288.8
ERRFI1,8064464.0,8086368.0,1,1p36.23,1p,1,p36.23,ENSG00000116285,ENSG00000116285.8
RN7SL729P,8335184.0,8335438.0,1,1p36.23,1p,1,p36.23,ENSG00000265414,ENSG00000265414.1
SLC45A1,8377886.0,8404227.0,1,1p36.23,1p,1,p36.23,ENSG00000162426,ENSG00000162426.10
RERE,8412457.0,8877702.0,1,1p36.23,1p,1,p36.23,ENSG00000142599,ENSG00000142599.13
SNORA77|ENSG00000221083.1,8571854.0,8571978.0,1,1p36.23,1p,1,p36.23,ENSG00000221083,ENSG00000221083.1
ENO1,8921061.0,8939308.0,1,1p36.23,1p,1,p36.23,ENSG00000074800,ENSG00000074800.9
CA6,9005926.0,9035151.0,1,1p36.23,1p,1,p36.23,ENSG00000131686,ENSG00000131686.10
RN7SL451P,9039637.0,9039933.0,1,1p36.23,1p,1,p36.23,ENSG00000265141,ENSG00000265141.1
SLC2A7,9063359.0,9086404.0,1,1p36.23,1p,1,p36.23,ENSG00000197241,ENSG00000197241.3
SLC2A5,9095166.0,9148537.0,1,1p36.23,1p,1,p36.23,ENSG00000142583,ENSG00000142583.13
SCARNA16|ENSG00000252404.1,9142755.0,9142938.0,1,1p36.23,1p,1,p36.23,ENSG00000252404,ENSG00000252404.1
GPR157,9160364.0,9189229.0,1,1p36.23,1p,1,p36.23,ENSG00000180758,ENSG00000180758.10
MIR34A,9211727.0,9211836.0,1,1p36.22,1p,1,p36.22,ENSG00000207865,ENSG00000207865.1
H6PD,9294834.0,9331396.0,1,1p36.22,1p,1,p36.22,ENSG00000049239,ENSG00000049239.8
SPSB1,9352939.0,9429591.0,1,1p36.22,1p,1,p36.22,ENSG00000171621,ENSG00000171621.9
RNA5SP40,9497728.0,9497837.0,1,1p36.22,1p,1,p36.22,ENSG00000252956,ENSG00000252956.1
SLC25A33,9599541.0,9645237.0,1,1p36.22,1p,1,p36.22,ENSG00000171612,ENSG00000171612.6
TMEM201,9648932.0,9674935.0,1,1p36.22,1p,1,p36.22,ENSG00000188807,ENSG00000188807.8
C1orf200,9712668.0,9714644.0,1,1p36.22,1p,1,p36.22,ENSG00000179840,ENSG00000179840.5
PIK3CD,9711790.0,9789172.0,1,1p36.22,1p,1,p36.22,ENSG00000171608,ENSG00000171608.11
CLSTN1,9789084.0,9884584.0,1,1p36.22,1p,1,p36.22,ENSG00000171603,ENSG00000171603.12
CTNNBIP1,9908334.0,9970394.0,1,1p36.22,1p,1,p36.22,ENSG00000178585,ENSG00000178585.10
LZIC,9982173.0,10003465.0,1,1p36.22,1p,1,p36.22,ENSG00000162441,ENSG00000162441.7
NMNAT1,10003486.0,10045559.0,1,1p36.22,1p,1,p36.22,ENSG00000173614,ENSG00000173614.9
RN7SKP269,10007376.0,10007694.0,1,1p36.22,1p,1,p36.22,ENSG00000202415,ENSG00000202415.1
MIR5697,10027439.0,10027516.0,1,1p36.22,1p,1,p36.22,ENSG00000265521,ENSG00000265521.1
RBP7,10057264.0,10076078.0,1,1p36.22,1p,1,p36.22,ENSG00000162444,ENSG00000162444.11
UBE4B,10092890.0,10241297.0,1,1p36.22,1p,1,p36.22,ENSG00000130939,ENSG00000130939.14
KIF1B,10270863.0,10441661.0,1,1p36.22,1p,1,p36.22,ENSG00000054523,ENSG00000054523.12
MIR1273D,10287776.0,10287861.0,1,1p36.22,1p,1,p36.22,ENSG00000264881,ENSG00000264881.1
RN7SL731P,10366523.0,10366813.0,1,1p36.22,1p,1,p36.22,ENSG00000264501,ENSG00000264501.1
RN7SL721P,10450059.0,10450353.0,1,1p36.22,1p,1,p36.22,ENSG00000265945,ENSG00000265945.1
PGD,10458649.0,10480201.0,1,1p36.22,1p,1,p36.22,ENSG00000142657,ENSG00000142657.16
APITD1,10490159.0,10512210.0,1,1p36.22,1p,1,p36.22,ENSG00000175279,ENSG00000175279.17
CORT,10509776.0,10511959.0,1,1p36.22,1p,1,p36.22,ENSG00000241563,ENSG00000241563.2
DFFA,10516579.0,10532583.0,1,1p36.22,1p,1,p36.22,ENSG00000160049,ENSG00000160049.7
PEX14,10532345.0,10690815.0,1,1p36.22,1p,1,p36.22,ENSG00000142655,ENSG00000142655.8
RN7SL614P,10676893.0,10677170.0,1,1p36.22,1p,1,p36.22,ENSG00000243267,ENSG00000243267.2
CASZ1,10696661.0,10856707.0,1,1p36.22,1p,1,p36.22,ENSG00000130940,ENSG00000130940.10
C1orf127,11006528.0,11042094.0,1,1p36.22,1p,1,p36.22,ENSG00000175262,ENSG00000175262.10
TARDBP,11072414.0,11085796.0,1,1p36.22,1p,1,p36.22,ENSG00000120948,ENSG00000120948.11
MASP2,11086580.0,11107290.0,1,1p36.22,1p,1,p36.22,ENSG00000009724,ENSG00000009724.12
SRM,11114641.0,11120081.0,1,1p36.22,1p,1,p36.22,ENSG00000116649,ENSG00000116649.5
EXOSC10,11126675.0,11159938.0,1,1p36.22,1p,1,p36.22,ENSG00000171824,ENSG00000171824.9
MTOR,11166592.0,11322564.0,1,1p36.22,1p,1,p36.22,ENSG00000198793,ENSG00000198793.8
snoU13|ENSG00000271794.1,11229564.0,11229670.0,1,1p36.22,1p,1,p36.22,ENSG00000271794,ENSG00000271794.1
ANGPTL7,11249398.0,11256038.0,1,1p36.22,1p,1,p36.22,ENSG00000171819,ENSG00000171819.4
UBIAD1,11333263.0,11356106.0,1,1p36.22,1p,1,p36.22,ENSG00000120942,ENSG00000120942.9
PTCHD2,11539223.0,11597641.0,1,1p36.22,1p,1,p36.22,ENSG00000204624,ENSG00000204624.6
FBXO2,11708424.0,11715842.0,1,1p36.22,1p,1,p36.22,ENSG00000116661,ENSG00000116661.9
FBXO44,11714432.0,11723384.0,1,1p36.22,1p,1,p36.22,ENSG00000132879,ENSG00000132879.9
FBXO6,11724181.0,11734411.0,1,1p36.22,1p,1,p36.22,ENSG00000116663,ENSG00000116663.6
MAD2L2,11734537.0,11751707.0,1,1p36.22,1p,1,p36.22,ENSG00000116670,ENSG00000116670.10
DRAXIN,11751786.0,11785914.0,1,1p36.22,1p,1,p36.22,ENSG00000162490,ENSG00000162490.6
AGTRAP,11796141.0,11814859.0,1,1p36.22,1p,1,p36.22,ENSG00000177674,ENSG00000177674.11
C1orf167,11821844.0,11849642.0,1,1p36.22,1p,1,p36.22,ENSG00000215910,ENSG00000215910.3
MTHFR,11845780.0,11866977.0,1,1p36.22,1p,1,p36.22,ENSG00000177000,ENSG00000177000.6
CLCN6,11866207.0,11903201.0,1,1p36.22,1p,1,p36.22,ENSG00000011021,ENSG00000011021.17
NPPA,11905766.0,11908402.0,1,1p36.22,1p,1,p36.22,ENSG00000175206,ENSG00000175206.6
NPPB,11917521.0,11918988.0,1,1p36.22,1p,1,p36.22,ENSG00000120937,ENSG00000120937.8
KIAA2013,11979648.0,11986485.0,1,1p36.22,1p,1,p36.22,ENSG00000116685,ENSG00000116685.11
PLOD1,11994262.0,12035595.0,1,1p36.22,1p,1,p36.22,ENSG00000083444,ENSG00000083444.12
MFN2,12040238.0,12073571.0,1,1p36.22,1p,1,p36.22,ENSG00000116688,ENSG00000116688.12
MIIP,12079523.0,12092102.0,1,1p36.22,1p,1,p36.22,ENSG00000116691,ENSG00000116691.6
RN7SL649P,12096799.0,12097071.0,1,1p36.22,1p,1,p36.22,ENSG00000243539,ENSG00000243539.2
TNFRSF8,12123434.0,12204264.0,1,1p36.22,1p,1,p36.22,ENSG00000120949,ENSG00000120949.10
TNFRSF1B,12227060.0,12269285.0,1,1p36.22,1p,1,p36.22,ENSG00000028137,ENSG00000028137.12
MIR4632,12251770.0,12251830.0,1,1p36.22,1p,1,p36.22,ENSG00000263676,ENSG00000263676.1
SNORA70|ENSG00000252969.1,12281205.0,12281328.0,1,1p36.22,1p,1,p36.22,ENSG00000252969,ENSG00000252969.1
VPS13D,12290124.0,12572099.0,1,1p36.22,1p,1,p36.22,ENSG00000048707,ENSG00000048707.9
SNORA59A,12567300.0,12567451.0,1,1p36.22,1p,1,p36.22,ENSG00000239149,ENSG00000239149.1
DHRS3,12627939.0,12677737.0,1,1p36.22,1p,1,p36.22,ENSG00000162496,ENSG00000162496.4
RNU6ATAC18P,12630000.0,12630100.0,1,1p36.22,1p,1,p36.22,ENSG00000221340,ENSG00000221340.1
AADACL4,12704566.0,12727097.0,1,1p36.21,1p,1,p36.21,ENSG00000204518,ENSG00000204518.2
AADACL3,12776118.0,12788726.0,1,1p36.21,1p,1,p36.21,ENSG00000188984,ENSG00000188984.7
snoU13|ENSG00000238771.1,12799693.0,12799796.0,1,1p36.21,1p,1,p36.21,ENSG00000238771,ENSG00000238771.1
C1orf158,12806163.0,12823847.0,1,1p36.21,1p,1,p36.21,ENSG00000157330,ENSG00000157330.5
HNRNPCL1,12907261.0,12908578.0,1,1p36.21,1p,1,p36.21,ENSG00000179172,ENSG00000179172.7
PRAMEF10,12952727.0,12958101.0,1,1p36.21,1p,1,p36.21,ENSG00000187545,ENSG00000187545.5
PRAMEF11,12884468.0,12891264.0,1,1p36.21,1p,1,p36.21,ENSG00000204513,ENSG00000204513.5
PRAMEF12,12834984.0,12838049.0,1,1p36.21,1p,1,p36.21,ENSG00000116726,ENSG00000116726.4
PRAMEF13,13447414.0,13452656.0,1,1p36.21,1p,1,p36.21,ENSG00000204495,ENSG00000204495.3
PRAMEF14,13668269.0,13673511.0,1,1p36.21,1p,1,p36.21,ENSG00000204481,ENSG00000204481.6
PRAMEF15,13641973.0,13648988.0,1,1p36.21,1p,1,p36.21,ENSG00000157358,ENSG00000157358.7
PRAMEF16,13495254.0,13498260.0,1,1p36.21,1p,1,p36.21,ENSG00000204488,ENSG00000204488.3
PRAMEF17,13716092.0,13719089.0,1,1p36.21,1p,1,p36.21,ENSG00000204479,ENSG00000204479.4
PRAMEF18,13474689.0,13477522.0,1,1p36.21,1p,1,p36.21,ENSG00000204491,ENSG00000204491.2
PRAMEF19,13694889.0,13698405.0,1,1p36.21,1p,1,p36.21,ENSG00000204480,ENSG00000204480.6
PRAMEF1,12851546.0,12856777.0,1,1p36.21,1p,1,p36.21,ENSG00000116721,ENSG00000116721.9
PRAMEF21,13516066.0,13526943.0,1,1p36.21,1p,1,p36.21,ENSG00000204486,ENSG00000204486.3
PRAMEF22,13035543.0,13038381.0,1,1p36.21,1p,1,p36.21,ENSG00000204508,ENSG00000204508.3
PRAMEF2,12916941.0,12921764.0,1,1p36.21,1p,1,p36.21,ENSG00000120952,ENSG00000120952.4
PRAMEF3,13328196.0,13331692.0,1,1p36.21,1p,1,p36.21,ENSG00000204503,ENSG00000204503.5
PRAMEF4,12939045.0,12946025.0,1,1p36.21,1p,1,p36.21,ENSG00000243073,ENSG00000243073.3
PRAMEF5,13359819.0,13369057.0,1,1p36.21,1p,1,p36.21,ENSG00000204502,ENSG00000204502.2
PRAMEF6,12998181.0,13117751.0,1,1p36.21,1p,1,p36.21,ENSG00000232423,ENSG00000232423.3
PRAMEF7,12976450.0,12980569.0,1,1p36.21,1p,1,p36.21,ENSG00000204510,ENSG00000204510.1
PRAMEF8,13386646.0,13390765.0,1,1p36.21,1p,1,p36.21,ENSG00000182330,ENSG00000182330.6
PRAMEF9,13421176.0,13428191.0,1,1p36.21,1p,1,p36.21,ENSG00000204501,ENSG00000204501.2
PRAMEF20,13736907.0,13747803.0,1,1p36.21,1p,1,p36.21,ENSG00000204478,ENSG00000204478.5
LRRC38,13801445.0,13840543.0,1,1p36.21,1p,1,p36.21,ENSG00000162494,ENSG00000162494.5
PDPN,13909960.0,13944452.0,1,1p36.21,1p,1,p36.21,ENSG00000162493,ENSG00000162493.12
RNA5SP41,13949679.0,13949779.0,1,1p36.21,1p,1,p36.21,ENSG00000222952,ENSG00000222952.1
SCARNA11|ENSG00000253085.1,14022565.0,14022694.0,1,1p36.21,1p,1,p36.21,ENSG00000253085,ENSG00000253085.1
PRDM2,14026693.0,14151574.0,1,1p36.21,1p,1,p36.21,ENSG00000116731,ENSG00000116731.18
KAZN,14925200.0,15444539.0,1,1p36.21,1p,1,p36.21,ENSG00000189337,ENSG00000189337.11
TMEM51,15479028.0,15546976.0,1,1p36.21,1p,1,p36.21,ENSG00000171729,ENSG00000171729.9
C1orf195,15490840.0,15497813.0,1,1p36.21,1p,1,p36.21,ENSG00000204464,ENSG00000204464.3
FHAD1,15573768.0,15726779.0,1,1p36.21,1p,1,p36.21,ENSG00000142621,ENSG00000142621.15
EFHD2,15736391.0,15756839.0,1,1p36.21,1p,1,p36.21,ENSG00000142634,ENSG00000142634.8
CTRC,15764935.0,15775737.0,1,1p36.21,1p,1,p36.21,ENSG00000162438,ENSG00000162438.7
CELA2A,15783223.0,15798586.0,1,1p36.21,1p,1,p36.21,ENSG00000142615,ENSG00000142615.7
CELA2B,15792404.0,15817895.0,1,1p36.21,1p,1,p36.21,ENSG00000215704,ENSG00000215704.5
CASP9,15817327.0,15853029.0,1,1p36.21,1p,1,p36.21,ENSG00000132906,ENSG00000132906.13
DNAJC16,15853308.0,15918874.0,1,1p36.21,1p,1,p36.21,ENSG00000116138,ENSG00000116138.8
SCARNA21|ENSG00000251866.1,15868660.0,15868799.0,1,1p36.21,1p,1,p36.21,ENSG00000251866,ENSG00000251866.1
AGMAT,15898848.0,15911605.0,1,1p36.21,1p,1,p36.21,ENSG00000116771,ENSG00000116771.5
DDI2,15943995.0,15995539.0,1,1p36.21,1p,1,p36.21,ENSG00000197312,ENSG00000197312.7
RSC1A1,15986364.0,15988217.0,1,1p36.21,1p,1,p36.21,ENSG00000215695,ENSG00000215695.1
PLEKHM2,16010827.0,16061264.0,1,1p36.21,1p,1,p36.21,ENSG00000116786,ENSG00000116786.7
FBLIM1,16083102.0,16113089.0,1,1p36.21,1p,1,p36.21,ENSG00000162458,ENSG00000162458.8
SLC25A34,16062900.0,16067891.0,1,1p36.21,1p,1,p36.21,ENSG00000162461,ENSG00000162461.7
TMEM82,16068917.0,16074477.0,1,1p36.21,1p,1,p36.21,ENSG00000162460,ENSG00000162460.6
SPEN,16174359.0,16266955.0,1,1p36.21,1p,1,p36.21,ENSG00000065526,ENSG00000065526.6
