Gene Symbol,Locus ID,Cytoband,chr,chr_arm
VWA1,64856,1p36.33,1,1p
ATAD3C,219293,1p36.33,1,1p
ATAD3B,83858,1p36.33,1,1p
ATAD3A,55210,1p36.33,1,1p
TMEM240,339453,1p36.33,1,1p
SSU72,29101,1p36.33,1,1p
C1orf233,643988,1p36.33,1,1p
MIB2,142678,1p36.33,1,1p
CDK11B,984,1p36.33,1,1p
MMP23A,8511,1p36.33,1,1p
MMP23B,8510,1p36.33,1,1p
SLC35E2B,728661,1p36.33,1,1p
CDK11A,728642,1p36.33,1,1p
SLC35E2,9906,1p36.33,1,1p
NADK,65220,1p36.33,1,1p
GNB1,2782,1p36.33,1,1p
CALML6,163688,1p36.33,1,1p
TMEM52,339456,1p36.33,1,1p
KIAA1751,85452,1p36.33,1,1p
GABRD,2563,1p36.33,1,1p
PRKCZ,5590,1p36.33,1,1p
C1orf86,199990,1p36.33,1,1p
SKI,6497,1p36.33,1,1p
MORN1,79906,1p36.33,1,1p
LOC100129534,100129534,1p36.33,1,1p
RER1,11079,1p36.32,1,1p
PEX10,5192,1p36.32,1,1p
PLCH2,9651,1p36.32,1,1p
PANK4,55229,1p36.32,1,1p
HES5,388585,1p36.32,1,1p
LOC100133445,100133445,1p36.32,1,1p
LOC115110,115110,1p36.32,1,1p
TNFRSF14,8764,1p36.32,1,1p
FAM213B,127281,1p36.32,1,1p
MMEL1,79258,1p36.32,1,1p
TTC34,100287898,1p36.32,1,1p
ACTRT2,140625,1p36.32,1,1p
FLJ42875,440556,1p36.32,1,1p
PRDM16,63976,1p36.32,1,1p
MIR4251,100422968,1p36.32,1,1p
hsa-mir-4251,-608,1p36.32,1,1p
ARHGEF16,27237,1p36.32,1,1p
MEGF6,1953,1p36.32,1,1p
MIR551A,693135,1p36.32,1,1p
hsa-mir-551a,-611,1p36.32,1,1p
TPRG1L,127262,1p36.32,1,1p
WRAP73,49856,1p36.32,1,1p
TP73,7161,1p36.32,1,1p
TP73-AS1,57212,1p36.32,1,1p
CCDC27,148870,1p36.32,1,1p
LOC388588,388588,1p36.32,1,1p
LRRC47,57470,1p36.32,1,1p
CEP104,9731,1p36.32,1,1p
DFFB,1677,1p36.32,1,1p
C1orf174,339448,1p36.32,1,1p
LOC100133612,100133612,1p36.32,1,1p
LOC728716,728716,1p36.32,1,1p
LOC284661,284661,1p36.32,1,1p
AJAP1,55966,1p36.32,1,1p
MIR4417,100616489,1p36.31,1,1p
MIR4689,100616421,1p36.31,1,1p
NPHP4,261734,1p36.31,1,1p
KCNAB2,8514,1p36.31,1,1p
CHD5,26038,1p36.31,1,1p
RPL22,6146,1p36.31,1,1p
RNF207,388591,1p36.31,1,1p
ICMT,23463,1p36.31,1,1p
GPR153,387509,1p36.31,1,1p
HES3,390992,1p36.31,1,1p
ACOT7,11332,1p36.31,1,1p
HES2,54626,1p36.31,1,1p
ESPN,83715,1p36.31,1,1p
MIR4252,100422975,1p36.31,1,1p
hsa-mir-4252,-634,1p36.31,1,1p
TNFRSF25,8718,1p36.31,1,1p
PLEKHG5,57449,1p36.31,1,1p
NOL9,79707,1p36.31,1,1p
TAS1R1,80835,1p36.31,1,1p
ZBTB48,3104,1p36.31,1,1p
KLHL21,9903,1p36.31,1,1p
PHF13,148479,1p36.31,1,1p
THAP3,90326,1p36.31,1,1p
DNAJC11,55735,1p36.31,1,1p
CAMTA1,23261,1p36.31,1,1p
VAMP3,9341,1p36.23,1,1p
PER3,8863,1p36.23,1,1p
UTS2,10911,1p36.23,1,1p
TNFRSF9,3604,1p36.23,1,1p
PARK7,11315,1p36.23,1,1p
ERRFI1,54206,1p36.23,1,1p
SLC45A1,50651,1p36.23,1,1p
RERE,473,1p36.23,1,1p
ENO1,2023,1p36.23,1,1p
ENO1-AS1,100505975,1p36.23,1,1p
CA6,765,1p36.23,1,1p
SLC2A7,155184,1p36.23,1,1p
SLC2A5,6518,1p36.23,1,1p
GPR157,80045,1p36.23,1,1p
MIR34A,407040,1p36.22,1,1p
hsa-mir-34a,-655,1p36.22,1,1p
H6PD,9563,1p36.22,1,1p
SPSB1,80176,1p36.22,1,1p
SLC25A33,84275,1p36.22,1,1p
TMEM201,199953,1p36.22,1,1p
PIK3CD,5293,1p36.22,1,1p
C1orf200,644997,1p36.22,1,1p
CLSTN1,22883,1p36.22,1,1p
CTNNBIP1,56998,1p36.22,1,1p
LZIC,84328,1p36.22,1,1p
NMNAT1,64802,1p36.22,1,1p
RBP7,116362,1p36.22,1,1p
UBE4B,10277,1p36.22,1,1p
KIF1B,23095,1p36.22,1,1p
hsa-mir-1273d,-663,1p36.22,1,1p
PGD,5226,1p36.22,1,1p
APITD1-CORT,100526739,1p36.22,1,1p
APITD1,378708,1p36.22,1,1p
CORT,1325,1p36.22,1,1p
DFFA,1676,1p36.22,1,1p
PEX14,5195,1p36.22,1,1p
CASZ1,54897,1p36.22,1,1p
C1orf127,148345,1p36.22,1,1p
TARDBP,23435,1p36.22,1,1p
MASP2,10747,1p36.22,1,1p
SRM,6723,1p36.22,1,1p
EXOSC10,5394,1p36.22,1,1p
MTOR,2475,1p36.22,1,1p
ANGPTL7,10218,1p36.22,1,1p
UBIAD1,29914,1p36.22,1,1p
PTCHD2,57540,1p36.22,1,1p
FBXO2,26232,1p36.22,1,1p
FBXO44,93611,1p36.22,1,1p
FBXO6,26270,1p36.22,1,1p
MAD2L2,10459,1p36.22,1,1p
C1orf187,374946,1p36.22,1,1p
AGTRAP,57085,1p36.22,1,1p
MTHFR,4524,1p36.22,1,1p
CLCN6,1185,1p36.22,1,1p
NPPA-AS1,100379251,1p36.22,1,1p
NPPA,4878,1p36.22,1,1p
NPPB,4879,1p36.22,1,1p
KIAA2013,90231,1p36.22,1,1p
PLOD1,5351,1p36.22,1,1p
MFN2,9927,1p36.22,1,1p
MIIP,60672,1p36.22,1,1p
TNFRSF8,943,1p36.22,1,1p
TNFRSF1B,7133,1p36.22,1,1p
MIR4632,100616438,1p36.22,1,1p
VPS13D,55187,1p36.22,1,1p
SNORA59A|chr1,677885,1p36.22,1,1p
SNORA59B|chr1,677882,1p36.22,1,1p
DHRS3,9249,1p36.22,1,1p
AADACL4,343066,1p36.21,1,1p
AADACL3,126767,1p36.21,1,1p
C1orf158,93190,1p36.21,1,1p
PRAMEF12,390999,1p36.21,1,1p
PRAMEF1,65121,1p36.21,1,1p
PRAMEF11,440560,1p36.21,1,1p
HNRNPCL1,343069,1p36.21,1,1p
LOC649330,649330,1p36.21,1,1p
PRAMEF2,65122,1p36.21,1,1p
PRAMEF4,400735,1p36.21,1,1p
PRAMEF10,343071,1p36.21,1,1p
PRAMEF7,441871,1p36.21,1,1p
PRAMEF8,391002,1p36.21,1,1p
PRAMEF6,440561,1p36.21,1,1p
PRAMEF22,653606,1p36.21,1,1p
PRAMEF5,343068,1p36.21,1,1p
LOC440563,440563,1p36.21,1,1p
PRAMEF3,401940,1p36.21,1,1p
PRAMEF15,653619,1p36.21,1,1p
PRAMEF9,343070,1p36.21,1,1p
PRAMEF13,400736,1p36.21,1,1p
PRAMEF14,729528,1p36.21,1,1p
PRAMEF18,391003,1p36.21,1,1p
PRAMEF19,645414,1p36.21,1,1p
PRAMEF16,654348,1p36.21,1,1p
PRAMEF20,645425,1p36.21,1,1p
PRAMEF21,391001,1p36.21,1,1p
PRAMEF17,391004,1p36.21,1,1p
LRRC38,126755,1p36.21,1,1p
PDPN,10630,1p36.21,1,1p
PRDM2,7799,1p36.21,1,1p
KAZN,23254,1p36.21,1,1p
C1orf126,200197,1p36.21,1,1p
TMEM51,55092,1p36.21,1,1p
FHAD1,114827,1p36.21,1,1p
EFHD2,79180,1p36.21,1,1p
CTRC,11330,1p36.21,1,1p
CELA2A,63036,1p36.21,1,1p
CELA2B,51032,1p36.21,1,1p
CASP9,842,1p36.21,1,1p
DNAJC16,23341,1p36.21,1,1p
AGMAT,79814,1p36.21,1,1p
DDI2,84301,1p36.21,1,1p
RSC1A1,6248,1p36.21,1,1p
PLEKHM2,23207,1p36.21,1,1p
SLC25A34,284723,1p36.21,1,1p
TMEM82,388595,1p36.21,1,1p
FBLIM1,54751,1p36.21,1,1p
UQCRHL,440567,1p36.21,1,1p
FLJ37453,729614,1p36.21,1,1p
SPEN,23013,1p36.21,1,1p
ZBTB17,7709,1p36.13,1,1p
C1orf64,149563,1p36.13,1,1p
HSPB7,27129,1p36.13,1,1p
CLCNKA,1187,1p36.13,1,1p
CLCNKB,1188,1p36.13,1,1p
FAM131C,348487,1p36.13,1,1p
EPHA2,1969,1p36.13,1,1p
ARHGEF19,128272,1p36.13,1,1p
RSG1,79363,1p36.13,1,1p
FBXO42,54455,1p36.13,1,1p
C1orf144,26099,1p36.13,1,1p
SPATA21,374955,1p36.13,1,1p
NECAP2,55707,1p36.13,1,1p
CROCCP3,114819,1p36.13,1,1p
MIR3675,100500876,1p36.13,1,1p
NBPF1,55672,1p36.13,1,1p
CROCCP2,84809,1p36.13,1,1p
MST1P2,11209,1p36.13,1,1p
ESPNP,284729,1p36.13,1,1p
MST1P9,11223,1p36.13,1,1p
CROCC,9696,1p36.13,1,1p
MFAP2,4237,1p36.13,1,1p
ATP13A2,23400,1p36.13,1,1p
SDHB,6390,1p36.13,1,1p
PADI2,11240,1p36.13,1,1p
PADI1,29943,1p36.13,1,1p
PADI3,51702,1p36.13,1,1p
PADI4,23569,1p36.13,1,1p
PADI6,353238,1p36.13,1,1p
RCC2,55920,1p36.13,1,1p
ARHGEF10L,55160,1p36.13,1,1p
ACTL8,81569,1p36.13,1,1p
IGSF21,84966,1p36.13,1,1p
KLHDC7A,127707,1p36.13,1,1p
PAX7,5081,1p36.13,1,1p
TAS1R2,80834,1p36.13,1,1p
ALDH4A1,8659,1p36.13,1,1p
MIR4695,100616120,1p36.13,1,1p
IFFO2,126917,1p36.13,1,1p
hsa-mir-1290,-731,1p36.13,1,1p
UBR4,23352,1p36.13,1,1p
KIAA0090,23065,1p36.13,1,1p
MRTO4,51154,1p36.13,1,1p
AKR7L,246181,1p36.13,1,1p
AKR7A3,22977,1p36.13,1,1p
LOC100506730,100506730,1p36.13,1,1p
AKR7A2,8574,1p36.13,1,1p
PQLC2,54896,1p36.13,1,1p
CAPZB,832,1p36.13,1,1p
C1orf151-NBL1,100532736,1p36.13,1,1p
MINOS1,440574,1p36.13,1,1p
NBL1,4681,1p36.13,1,1p
HTR6,3362,1p36.13,1,1p
TMCO4,255104,1p36.13,1,1p
RNF186,54546,1p36.13,1,1p
OTUD3,23252,1p36.13,1,1p
PLA2G2E,30814,1p36.13,1,1p
PLA2G2A,5320,1p36.13,1,1p
PLA2G5,5322,1p36.13,1,1p
PLA2G2D,26279,1p36.12,1,1p
PLA2G2F,64600,1p36.12,1,1p
PLA2G2C,391013,1p36.12,1,1p
UBXN10,127733,1p36.12,1,1p
VWA5B1,127731,1p36.12,1,1p
LOC339505,339505,1p36.12,1,1p
CAMK2N1,55450,1p36.12,1,1p
MUL1,79594,1p36.12,1,1p
FAM43B,163933,1p36.12,1,1p
CDA,978,1p36.12,1,1p
PINK1,65018,1p36.12,1,1p
DDOST,1650,1p36.12,1,1p
KIF17,57576,1p36.12,1,1p
SH2D5,400745,1p36.12,1,1p
HP1BP3,50809,1p36.12,1,1p
EIF4G3,8672,1p36.12,1,1p
hsa-mir-1256,-747,1p36.12,1,1p
ECE1,1889,1p36.12,1,1p
LOC100506801,100506801,1p36.12,1,1p
NBPF3,84224,1p36.12,1,1p
ALPL,249,1p36.12,1,1p
RAP1GAP,5909,1p36.12,1,1p
USP48,84196,1p36.12,1,1p
LDLRAD2,401944,1p36.12,1,1p
HSPG2,3339,1p36.12,1,1p
CELA3B,23436,1p36.12,1,1p
CELA3A,10136,1p36.12,1,1p
LINC00339,29092,1p36.12,1,1p
CDC42,998,1p36.12,1,1p
WNT4,54361,1p36.12,1,1p
ZBTB40,9923,1p36.12,1,1p
EPHA8,2046,1p36.12,1,1p
C1QA,712,1p36.12,1,1p
C1QC,714,1p36.12,1,1p
C1QB,713,1p36.12,1,1p
EPHB2,2048,1p36.12,1,1p
MIR4684,100616391,1p36.12,1,1p
MIR4253,100422914,1p36.12,1,1p
hsa-mir-4253,-761,1p36.12,1,1p
LOC729059,729059,1p36.12,1,1p
KDM1A,23028,1p36.12,1,1p
MIR3115,100422866,1p36.12,1,1p
hsa-mir-3115,-763,1p36.12,1,1p
LUZP1,7798,1p36.12,1,1p
HTR1D,3352,1p36.12,1,1p
HNRNPR,10236,1p36.12,1,1p
ZNF436,80818,1p36.12,1,1p
C1orf213,148898,1p36.12,1,1p
TCEA3,6920,1p36.12,1,1p
ASAP3,55616,1p36.12,1,1p
E2F2,1870,1p36.12,1,1p
ID3,3399,1p36.12,1,1p
MDS2,259283,1p36.11,1,1p
RPL11,6135,1p36.11,1,1p
TCEB3,6924,1p36.11,1,1p
LOC100506963,100506963,1p36.11,1,1p
PITHD1,57095,1p36.11,1,1p
GALE,2582,1p36.11,1,1p
LYPLA2,11313,1p36.11,1,1p
HMGCL,3155,1p36.11,1,1p
FUCA1,2517,1p36.11,1,1p
CNR2,1269,1p36.11,1,1p
MIR378F,100616492,1p36.11,1,1p
PNRC2,55629,1p36.11,1,1p
SRSF10,10772,1p36.11,1,1p
MYOM3,127294,1p36.11,1,1p
IL22RA1,58985,1p36.11,1,1p
IL28RA,163702,1p36.11,1,1p
LOC284632,284632,1p36.11,1,1p
GRHL3,57822,1p36.11,1,1p
C1orf201,90529,1p36.11,1,1p
NIPAL3,57185,1p36.11,1,1p
RCAN3AS,100750325,1p36.11,1,1p
RCAN3,11123,1p36.11,1,1p
C1orf130,400746,1p36.11,1,1p
SRRM1,10250,1p36.11,1,1p
CLIC4,25932,1p36.11,1,1p
RUNX3,864,1p36.11,1,1p
SYF2,25949,1p36.11,1,1p
C1orf63,57035,1p36.11,1,1p
RHD,6007,1p36.11,1,1p
TMEM50A,23585,1p36.11,1,1p
RHCE,6006,1p36.11,1,1p
TMEM57,55219,1p36.11,1,1p
LDLRAP1,26119,1p36.11,1,1p
MAN1C1,57134,1p36.11,1,1p
SEPN1,57190,1p36.11,1,1p
FAM54B,56181,1p36.11,1,1p
LOC646471,646471,1p36.11,1,1p
C1orf135,79000,1p36.11,1,1p
PAQR7,164091,1p36.11,1,1p
STMN1,3925,1p36.11,1,1p
MIR3917,100500808,1p36.11,1,1p
PAFAH2,5051,1p36.11,1,1p
EXTL1,2134,1p36.11,1,1p
SLC30A2,7780,1p36.11,1,1p
TRIM63,84676,1p36.11,1,1p
PDIK1L,149420,1p36.11,1,1p
FAM110D,79927,1p36.11,1,1p
ZNF593,51042,1p36.11,1,1p
CNKSR1,10256,1p36.11,1,1p
CATSPER4,378807,1p36.11,1,1p
CEP85,64793,1p36.11,1,1p
SH3BGRL3,83442,1p36.11,1,1p
UBXN11,91544,1p36.11,1,1p
AIM1L,55057,1p36.11,1,1p
CD52,1043,1p36.11,1,1p
ZNF683,257101,1p36.11,1,1p
LIN28A,79727,1p36.11,1,1p
DHDDS,79947,1p36.11,1,1p
HMGN2,3151,1p36.11,1,1p
RPS6KA1,6195,1p36.11,1,1p
MIR1976,100302190,1p36.11,1,1p
hsa-mir-1976,-790,1p36.11,1,1p
ARID1A,8289,1p36.11,1,1p
PIGV,55650,1p36.11,1,1p
ZDHHC18,84243,1p36.11,1,1p
SFN,2810,1p36.11,1,1p
GPN2,54707,1p36.11,1,1p
GPATCH3,63906,1p36.11,1,1p
NR0B2,8431,1p36.11,1,1p
NUDC,10726,1p36.11,1,1p
C1orf172,126695,1p36.11,1,1p
TRNP1,388610,1p36.11,1,1p
FAM46B,115572,1p36.11,1,1p
SLC9A1,6548,1p36.11,1,1p
WDTC1,23038,1p36.11,1,1p
LOC644961,644961,1p36.11,1,1p
TMEM222,84065,1p36.11,1,1p
SYTL1,84958,1p36.11,1,1p
MAP3K6,9064,1p36.11,1,1p
FCN3,8547,1p36.11,1,1p
CD164L2,388611,1p36.11,1,1p
GPR3,2827,1p36.11,1,1p
WASF2,10163,1p36.11,1,1p
AHDC1,27245,1p36.11,1,1p
FGR,2268,1p36.11,1,1p
IFI6,2537,1p36.11,1,1p
FAM76A,199870,1p35.3,1,1p
STX12,23673,1p35.3,1,1p
PPP1R8,5511,1p35.3,1,1p
SCARNA1,677774,1p35.3,1,1p
C1orf38,9473,1p35.3,1,1p
RPA2,6118,1p35.3,1,1p
SMPDL3B,27293,1p35.3,1,1p
XKR8,55113,1p35.3,1,1p
EYA3,2140,1p35.3,1,1p
LOC653566,653566,1p35.3,1,1p
PTAFR,5724,1p35.3,1,1p
DNAJC8,22826,1p35.3,1,1p
ATPIF1,93974,1p35.3,1,1p
SESN2,83667,1p35.3,1,1p
MED18,54797,1p35.3,1,1p
PHACTR4,65979,1p35.3,1,1p
RCC1,1104,1p35.3,1,1p
SNHG3,8420,1p35.3,1,1p
TRNAU1AP,54952,1p35.3,1,1p
SNHG12,85028,1p35.3,1,1p
SNORA16A,692073,1p35.3,1,1p
SNORA44,677825,1p35.3,1,1p
SNORA61,677838,1p35.3,1,1p
SNORD99,692212,1p35.3,1,1p
RAB42,115273,1p35.3,1,1p
TAF12,6883,1p35.3,1,1p
RNU11,26824,1p35.3,1,1p
GMEB1,10691,1p35.3,1,1p
YTHDF2,51441,1p35.3,1,1p
OPRD1,4985,1p35.3,1,1p
EPB41,2035,1p35.3,1,1p
TMEM200B,399474,1p35.3,1,1p
SRSF4,6429,1p35.3,1,1p
MECR,51102,1p35.3,1,1p
PTPRU,10076,1p35.3,1,1p
MATN1,4146,1p35.2,1,1p
LOC100129196,100129196,1p35.2,1,1p
LAPTM5,7805,1p35.2,1,1p
MIR4420,100616164,1p35.2,1,1p
SDC3,9672,1p35.2,1,1p
PUM1,9698,1p35.2,1,1p
SNORD103A,692234,1p35.2,1,1p
SNORD103B,692235,1p35.2,1,1p
SNORD85,692200,1p35.2,1,1p
PRO0611,28997,1p35.2,1,1p
NKAIN1,79570,1p35.2,1,1p
SNRNP40,9410,1p35.2,1,1p
ZCCHC17,51538,1p35.2,1,1p
FABP3,2170,1p35.2,1,1p
SERINC2,347735,1p35.2,1,1p
LOC149086,149086,1p35.2,1,1p
LOC284551,284551,1p35.2,1,1p
TINAGL1,64129,1p35.2,1,1p
HCRTR1,3061,1p35.2,1,1p
PEF1,553115,1p35.2,1,1p
COL16A1,1307,1p35.2,1,1p
BAI2,576,1p35.2,1,1p
MIR4254,100423028,1p35.2,1,1p
hsa-mir-4254,-830,1p35.2,1,1p
SPOCD1,90853,1p35.2,1,1p
PTP4A2,8073,1p35.2,1,1p
KHDRBS1,10657,1p35.1,1,1p
TMEM39B,55116,1p35.1,1,1p
KPNA6,23633,1p35.1,1,1p
TXLNA,200081,1p35.1,1,1p
CCDC28B,79140,1p35.1,1,1p
DCDC2B,149069,1p35.1,1,1p
IQCC,55721,1p35.1,1,1p
EIF3I,8668,1p35.1,1,1p
TMEM234,56063,1p35.1,1,1p
MTMR9LP,339483,1p35.1,1,1p
FAM167B,84734,1p35.1,1,1p
LCK,3932,1p35.1,1,1p
HDAC1,3065,1p35.1,1,1p
MARCKSL1,65108,1p35.1,1,1p
LOC100128071,100128071,1p35.1,1,1p
TSSK3,81629,1p35.1,1,1p
BSDC1,55108,1p35.1,1,1p
ZBTB8B,728116,1p35.1,1,1p
ZBTB8A,653121,1p35.1,1,1p
ZBTB8OS,339487,1p35.1,1,1p
RBBP4,5928,1p35.1,1,1p
SYNC,81493,1p35.1,1,1p
KIAA1522,57648,1p35.1,1,1p
YARS,8565,1p35.1,1,1p
S100PBP,64766,1p35.1,1,1p
FNDC5,252995,1p35.1,1,1p
HPCA,3208,1p35.1,1,1p
TMEM54,113452,1p35.1,1,1p
RNF19B,127544,1p35.1,1,1p
AK2,204,1p35.1,1,1p
ADC,113451,1p35.1,1,1p
TRIM62,55223,1p35.1,1,1p
ZNF362,149076,1p35.1,1,1p
PHC2,1912,1p35.1,1,1p
MIR3605,100500853,1p35.1,1,1p
ZSCAN20,7579,1p35.1,1,1p
CSMD2,114784,1p35.1,1,1p
HMGB4,127540,1p35.1,1,1p
LOC402779,402779,1p35.1,1,1p
C1orf94,84970,1p34.3,1,1p
hsa-mir-552,-853,1p34.3,1,1p
GJB4,127534,1p34.3,1,1p
GJB5,2709,1p34.3,1,1p
GJB3,2707,1p34.3,1,1p
GJA4,2701,1p34.3,1,1p
C1orf212,113444,1p34.3,1,1p
DLGAP3,58512,1p34.3,1,1p
LOC653160,653160,1p34.3,1,1p
ZMYM6NB,100506144,1p34.3,1,1p
ZMYM6,9204,1p34.3,1,1p
ZMYM1,79830,1p34.3,1,1p
SFPQ,6421,1p34.3,1,1p
ZMYM4,9202,1p34.3,1,1p
KIAA0319L,79932,1p34.3,1,1p
NCDN,23154,1p34.3,1,1p
TFAP2E,339488,1p34.3,1,1p
PSMB2,5690,1p34.3,1,1p
C1orf216,127703,1p34.3,1,1p
CLSPN,63967,1p34.3,1,1p
EIF2C4,192670,1p34.3,1,1p
EIF2C1,26523,1p34.3,1,1p
EIF2C3,192669,1p34.3,1,1p
ADPRHL2,54936,1p34.3,1,1p
TEKT2,27285,1p34.3,1,1p
COL8A2,1296,1p34.3,1,1p
TRAPPC3,27095,1p34.3,1,1p
MAP7D1,55700,1p34.3,1,1p
THRAP3,9967,1p34.3,1,1p
SH3D21,79729,1p34.3,1,1p
FAM176B,55194,1p34.3,1,1p
STK40,83931,1p34.3,1,1p
LSM10,84967,1p34.3,1,1p
OSCP1,127700,1p34.3,1,1p
MRPS15,64960,1p34.3,1,1p
CSF3R,1441,1p34.3,1,1p
GRIK3,2899,1p34.3,1,1p
MIR4255,100422898,1p34.3,1,1p
hsa-mir-4255,-872,1p34.3,1,1p
LOC728431,728431,1p34.3,1,1p
ZC3H12A,80149,1p34.3,1,1p
MEAF6,64769,1p34.3,1,1p
SNIP1,79753,1p34.3,1,1p
DNALI1,7802,1p34.3,1,1p
GNL2,29889,1p34.3,1,1p
RSPO1,284654,1p34.3,1,1p
C1orf109,54955,1p34.3,1,1p
CDCA8,55143,1p34.3,1,1p
EPHA10,284656,1p34.3,1,1p
MANEAL,149175,1p34.3,1,1p
C1orf122,127687,1p34.3,1,1p
YRDC,79693,1p34.3,1,1p
MTF1,4520,1p34.3,1,1p
INPP5B,3633,1p34.3,1,1p
SF3A3,10946,1p34.3,1,1p
FHL3,2275,1p34.3,1,1p
UTP11L,51118,1p34.3,1,1p
POU3F1,5453,1p34.3,1,1p
MIR3659,100500801,1p34.3,1,1p
LOC339442,339442,1p34.3,1,1p
RRAGC,64121,1p34.3,1,1p
GJA9-MYCBP,100527950,1p34.3,1,1p
MYCBP,26292,1p34.3,1,1p
GJA9,81025,1p34.3,1,1p
RHBDL2,54933,1p34.3,1,1p
AKIRIN1,79647,1p34.3,1,1p
NDUFS5,4725,1p34.3,1,1p
MACF1,23499,1p34.3,1,1p
KIAA0754,643314,1p34.3,1,1p
BMP8A,353500,1p34.3,1,1p
PPIEL,728448,1p34.3,1,1p
PABPC4,8761,1p34.3,1,1p
SNORA55,677834,1p34.3,1,1p
HEYL,26508,1p34.3,1,1p
NT5C1A,84618,1p34.2,1,1p
HPCAL4,51440,1p34.2,1,1p
PPIE,10450,1p34.2,1,1p
BMP8B,656,1p34.2,1,1p
OXCT2,64064,1p34.2,1,1p
TRIT1,54802,1p34.2,1,1p
MYCL1,4610,1p34.2,1,1p
MFSD2A,84879,1p34.2,1,1p
CAP1,10487,1p34.2,1,1p
PPT1,5538,1p34.2,1,1p
RLF,6018,1p34.2,1,1p
TMCO2,127391,1p34.2,1,1p
ZMPSTE24,10269,1p34.2,1,1p
COL9A2,1298,1p34.2,1,1p
SMAP2,64744,1p34.2,1,1p
ZNF643,65243,1p34.2,1,1p
ZNF642,339559,1p34.2,1,1p
DEM1,64789,1p34.2,1,1p
ZNF684,127396,1p34.2,1,1p
RIMS3,9783,1p34.2,1,1p
LOC100130557,100130557,1p34.2,1,1p
NFYC,4802,1p34.2,1,1p
MIR30C1,407031,1p34.2,1,1p
MIR30E,407034,1p34.2,1,1p
hsa-mir-30c-1,-899,1p34.2,1,1p
hsa-mir-30e,-899,1p34.2,1,1p
KCNQ4,9132,1p34.2,1,1p
CITED4,163732,1p34.2,1,1p
CTPS,1503,1p34.2,1,1p
LOC100507178,100507178,1p34.2,1,1p
SLFNL1,200172,1p34.2,1,1p
SCMH1,22955,1p34.2,1,1p
EDN2,1907,1p34.2,1,1p
HIVEP3,59269,1p34.2,1,1p
GUCA2B,2981,1p34.2,1,1p
GUCA2A,2980,1p34.2,1,1p
FOXJ3,22887,1p34.2,1,1p
RIMKLA,284716,1p34.2,1,1p
ZMYND12,84217,1p34.2,1,1p
PPCS,79717,1p34.2,1,1p
CCDC30,728621,1p34.2,1,1p
PPIH,10465,1p34.2,1,1p
YBX1,4904,1p34.2,1,1p
CLDN19,149461,1p34.2,1,1p
LEPRE1,64175,1p34.2,1,1p
C1orf50,79078,1p34.2,1,1p
LOC100129924,100129924,1p34.2,1,1p
CCDC23,374969,1p34.2,1,1p
ERMAP,114625,1p34.2,1,1p
ZNF691,51058,1p34.2,1,1p
SLC2A1,6513,1p34.2,1,1p
FLJ32224,440584,1p34.2,1,1p
FAM183A,440585,1p34.2,1,1p
